126,409 125,649 81,055 106,554 319,411 150,123 192,797 84,143 420,971 397,185 
388,796 425,258 241,423 348,553 1 019,313 530,256 748,810 281,206 1 411,059 1 421,476 
208,434 211,634 127,765 179,286 470,724 249,019 301,743 138,687 639,592 645,404 
270,054 324,137 168,054 238,604 814,645 393,325 453,112 186,745 943,719 914,627 
370,547 387,540 231,870 314,625 942,840 465,061 657,660 255,415 1 277,853 1 282,656 
628,472 635,760 364,611 497,694 1 253,112 718,921 971,111 423,621 1 722,800 2 090,686 
249,855 239,667 160,724 198,323 610,346 294,564 383,986 171,310 814,064 811,794 
267,235 289,152 180,409 230,220 788,835 369,314 395,195 196,899 909,175 885,338 
223,999 243,054 142,857 208,923 659,900 312,165 340,717 154,694 820,077 687,689 
249,460 294,397 135,330 251,278 564,267 337,083 428,382 163,146 819,139 800,748 
*** *** *** *** *** ***
389,484 541,132 392,888 502,613 476,586 399,515 399,683 266,182 638,371 499,178 
424,620 535,404 386,830 533,555 488,032 404,159 372,883 252,714 653,575 521,764 
352,885 518,645 375,914 478,389 424,257 367,674 352,722 247,435 580,760 460,728 
489,559 1 133,382 589,144 708,056 603,132 524,934 591,731 440,503 925,642 646,049 
304,199 401,307 280,795 383,296 363,779 287,766 289,408 195,686 472,056 385,076 
435,131 867,473 547,002 579,843 601,725 445,692 658,387 330,298 713,559 536,274 
256,882 586,029 304,848 366,831 319,990 267,941 305,075 232,081 479,429 343,775 
507,780 714,209 511,839 687,448 577,216 579,239 527,812 335,395 869,140 605,943 
337,914 418,082 336,816 420,954 406,028 372,330 380,984 201,544 563,289 386,367 
454,382 603,952 415,152 586,589 515,577 481,866 454,944 286,615 750,206 535,101 
*** *** *** *** *** ***
